iter	Logloss
0	0.6644632877
1	0.6404078736
2	0.6189241155
3	0.6004419296
4	0.5837121993
5	0.5695007579
6	0.5576451911
7	0.546721145
8	0.5373454704
9	0.5291540094
10	0.5218765505
11	0.5152934276
12	0.5099165226
13	0.5053851715
14	0.5013836061
15	0.4976196875
16	0.4942839649
17	0.4909239093
18	0.4885926637
19	0.4861844877
20	0.4838967861
21	0.4817125236
22	0.4798535377
23	0.4779997074
24	0.4763264599
25	0.4752077553
26	0.4738795725
27	0.4728106847
28	0.4717059353
29	0.4708040112
30	0.4698981764
31	0.4689231201
32	0.4680532637
33	0.4672579784
34	0.4664122694
35	0.4658230607
36	0.4650837217
37	0.4645450719
38	0.4640158951
39	0.4634773248
40	0.4628944602
41	0.462451923
42	0.4619633358
43	0.4616004456
44	0.4611672987
45	0.4607481896
46	0.460373461
47	0.4599332669
48	0.4595405625
49	0.4592032763
50	0.4589043622
51	0.4585853879
52	0.4582964216
53	0.457966273
54	0.4577159734
55	0.4574763186
56	0.457212617
57	0.4569606446
58	0.4568021396
59	0.4565850584
60	0.4562926323
61	0.4560324949
62	0.4557746146
63	0.4555224723
64	0.4553118598
65	0.4551001644
66	0.4549008102
67	0.4547458182
68	0.4545645606
69	0.4543656849
70	0.4542006012
71	0.454014866
72	0.4538112476
73	0.4536380793
74	0.4534769864
75	0.4532909591
76	0.4531383004
77	0.4529802176
78	0.4528500519
79	0.4526801211
80	0.4525131798
81	0.4523970565
82	0.4522706873
83	0.4520986923
84	0.4519825195
85	0.4518517112
86	0.4517674802
87	0.4515754186
88	0.4514940204
89	0.4513682673
90	0.4512310111
91	0.451122723
92	0.4509702724
93	0.4508161861
94	0.4506983622
95	0.4506303817
96	0.4504766744
97	0.450362539
98	0.450236512
99	0.4500759012
100	0.4499079047
101	0.4497890817
102	0.4497016153
103	0.4495683239
104	0.449447384
105	0.4493257365
106	0.4492026075
107	0.4490768155
108	0.4489767315
109	0.4488486029
110	0.4487716922
111	0.4486853386
112	0.4485979222
113	0.4484939875
114	0.4483759555
115	0.4483082108
116	0.4482009923
117	0.4481518655
118	0.4480361924
119	0.4479015953
120	0.4478337769
121	0.4477328941
122	0.4476384838
123	0.447567046
124	0.4475166631
125	0.4474251177
126	0.4473450312
127	0.4472474959
128	0.4471546836
129	0.4471002068
130	0.4470285422
131	0.446932816
132	0.4468338217
133	0.4467640746
134	0.4466852432
135	0.4466156393
136	0.4465577477
137	0.4464848672
138	0.4464446214
139	0.4463512036
140	0.4462623148
141	0.4461872633
142	0.4460666933
143	0.4459964393
144	0.4458974751
145	0.4458339391
146	0.445765559
147	0.4457093326
148	0.445637811
149	0.4455683386
150	0.4454987039
151	0.4454165199
152	0.4453523759
153	0.4452556779
154	0.4451941236
155	0.4451454545
156	0.4450826111
157	0.4449791908
158	0.4449331686
159	0.4448735382
160	0.4447986768
161	0.4447318662
162	0.4446461962
163	0.4446030648
164	0.4445178077
165	0.4444310296
166	0.4443352251
167	0.4442467055
168	0.4441710596
169	0.444081237
170	0.444016667
171	0.44396277
172	0.4439064997
173	0.4438339628
174	0.4437550263
175	0.443677124
176	0.4435845508
177	0.4435082501
178	0.4434065494
179	0.4433250589
180	0.4432542804
181	0.4431700679
182	0.4430769076
183	0.4430083904
184	0.4429370726
185	0.442869029
186	0.4427986844
187	0.4427038348
188	0.4426473362
189	0.4425844735
190	0.4425218097
191	0.4424538943
192	0.4423482025
193	0.442265007
194	0.442123083
195	0.4420151869
196	0.4419442237
197	0.441862541
198	0.441783063
199	0.4416967132
200	0.4415892623
201	0.4415464201
202	0.4414407581
203	0.4413793728
204	0.4412985488
205	0.4411869738
206	0.4411163968
207	0.4410040826
208	0.4409245897
209	0.4408569037
210	0.4407550406
211	0.4406774761
212	0.4405927376
213	0.4405191987
214	0.440429718
215	0.4403471414
216	0.4402744837
217	0.4402075516
218	0.4400888401
219	0.4399891526
220	0.4399119723
221	0.4398429135
222	0.4397603849
223	0.4397088895
224	0.4396162817
225	0.4395079962
226	0.4394217288
227	0.439304088
228	0.4392212498
229	0.439144941
230	0.4390361211
231	0.4389623893
232	0.4388907074
233	0.4388452395
234	0.43877687
235	0.43869123
236	0.4386033833
237	0.4385390427
238	0.4384688569
239	0.43841186
240	0.438354036
241	0.4382683051
242	0.4381923345
243	0.4380785895
244	0.4379941483
245	0.4379349695
246	0.4378408233
247	0.4377647619
248	0.4376792139
249	0.4376109697
250	0.4375352275
251	0.4374827397
252	0.4373728306
253	0.437273775
254	0.4371827547
255	0.4371233606
256	0.4370689436
257	0.4370037137
258	0.4369454539
259	0.4368826592
260	0.436828435
261	0.4367441273
262	0.4366486125
263	0.4365648311
264	0.43648782
265	0.4364287422
266	0.4363794522
267	0.436321463
268	0.4362346084
269	0.4361555051
270	0.4360831408
271	0.4360319921
272	0.4359463208
273	0.4358840197
274	0.4357967681
275	0.4356986774
276	0.4356103013
277	0.4355415801
278	0.4354805142
279	0.4354100605
280	0.4353649848
281	0.4352972639
282	0.4352173942
