iter	Passed	Remaining
0	68	68516
1	76	38250
2	83	27631
3	89	22207
4	95	19032
5	102	16952
6	109	15512
7	115	14345
8	122	13497
9	128	12724
10	132	11950
11	137	11307
12	142	10792
13	146	10309
14	151	9925
15	155	9584
16	160	9271
17	165	9014
18	170	8778
19	174	8568
20	179	8378
21	184	8189
22	189	8030
23	193	7888
24	198	7749
25	203	7626
26	208	7517
27	213	7415
28	218	7319
29	223	7221
30	228	7140
31	234	7079
32	238	7002
33	243	6926
34	248	6864
35	253	6789
36	258	6720
37	262	6648
38	267	6590
39	272	6533
40	276	6476
41	281	6422
42	286	6377
43	291	6329
44	295	6279
45	300	6239
46	305	6191
47	309	6147
48	314	6109
49	319	6073
50	323	6026
51	329	6008
52	334	5984
53	339	5947
54	344	5913
55	349	5886
56	354	5856
57	358	5824
58	363	5796
59	368	5770
60	372	5740
61	377	5713
62	382	5687
63	387	5663
64	392	5642
65	397	5618
66	401	5595
67	406	5573
68	410	5540
69	415	5517
70	420	5498
71	424	5476
72	429	5452
73	434	5433
74	438	5414
75	443	5393
76	448	5376
77	453	5359
78	458	5343
79	462	5324
80	467	5308
81	472	5293
82	477	5276
83	482	5261
84	487	5248
85	492	5230
86	496	5214
87	501	5200
88	506	5188
89	511	5170
90	515	5154
91	520	5138
92	525	5124
93	530	5108
94	534	5095
95	539	5081
96	544	5068
97	549	5055
98	553	5040
99	559	5035
100	564	5023
101	569	5010
102	575	5012
103	581	5010
104	587	5009
105	594	5017
106	599	5006
107	605	4997
108	609	4982
109	614	4969
110	619	4962
111	624	4950
112	629	4943
113	634	4932
114	639	4921
115	644	4914
116	649	4903
117	654	4891
118	659	4885
119	664	4875
120	670	4870
121	675	4858
122	679	4848
123	685	4842
124	690	4832
125	695	4825
126	700	4815
127	705	4804
128	710	4796
129	715	4785
130	719	4775
131	725	4767
132	729	4757
133	734	4749
134	739	4739
135	744	4730
136	749	4722
137	754	4712
138	759	4702
139	763	4692
140	768	4682
141	773	4673
142	778	4664
143	783	4655
144	788	4647
145	792	4636
146	797	4628
147	802	4620
148	807	4609
149	812	4601
150	816	4592
151	821	4583
152	826	4573
153	831	4566
154	835	4556
155	840	4547
156	845	4539
157	850	4530
158	854	4521
159	859	4514
160	864	4505
161	869	4497
162	874	4488
163	879	4481
164	883	4473
165	888	4464
166	893	4456
167	898	4449
168	903	4441
169	907	4433
170	912	4425
171	917	4417
172	922	4410
173	927	4402
174	933	4400
175	938	4395
176	944	4389
177	949	4382
178	953	4374
179	958	4367
180	963	4359
181	968	4351
182	972	4343
183	977	4336
184	982	4329
185	987	4321
186	992	4313
187	996	4306
188	1001	4298
189	1007	4294
190	1012	4288
191	1017	4281
192	1022	4273
193	1027	4268
194	1032	4260
195	1037	4254
196	1042	4247
197	1046	4239
198	1051	4231
199	1055	4223
200	1061	4217
201	1065	4211
202	1070	4203
203	1076	4199
204	1081	4193
205	1086	4186
206	1090	4179
207	1096	4174
208	1101	4167
209	1106	4161
210	1111	4154
211	1115	4147
212	1120	4140
213	1125	4134
214	1130	4127
215	1135	4120
216	1139	4112
217	1144	4105
218	1149	4099
219	1154	4092
220	1159	4086
221	1164	4079
